Column1;#N/A Requesting Data...;#N/A Requesting Data..._1;#N/A Requesting Data..._2;#N/A Requesting Data..._3;#N/A Requesting Data..._4;#N/A Requesting Data..._5;#N/A Requesting Data..._6;#N/A Requesting Data..._7;#N/A Requesting Data..._8;#N/A Requesting Data..._9;#N/A Requesting Data..._10;#N/A Requesting Data..._11;#N/A Requesting Data..._12;#N/A Requesting Data..._13;#N/A Requesting Data..._14;Colonne1
;CUR_MKT_CAP;CURR_ENTP_VAL;NET_INCOME_FIRM;SALES_REV_TURN;NET_REV;GROSS_PROFIT;EBIT;EBITDA;NET_DEBT;CURRENT_EV_TO_T12M_EBIT;CURRENT_EV_TO_T12M_EBITDA;PX_TO_SALES_RATIO;TRAIL_12M_NET_SALES;CURRENT_EV_TO_12M_SALES;PE_RATIO;Datetime of data import
EMR UN Equity;54774561117;59693,56112;2435,651786;18236;#N/A N/A;7563;3066;4230;4879;19,38003846;14,11195298;3,021212734;18236;3,273391156;22,59514027;
ENPH UQ Equity;18951151571;18600,06457;#N/A N/A;774,425;#N/A N/A;345,981;186,439;209,874;-328,763;77,94469337;68,92001442;15,05154665;1234,169;15,07092187;95,52461778;
EOG UN Equity;65225831082;66549,83108;#N/A N/A;11004,841;#N/A N/A;4868,98;-544,016;3249,337;3423,566;16,3848767;8,672992439;3,968981555;16297,547;4,083426241;17,51769815;
EPAM UN Equity;27006450822;25965,59082;#N/A N/A;2659,478;#N/A N/A;926,956;379,324;515,938;-1115,749;52,48989165;38,67034644;7,952572717;3374,173;7,695394048;64,72435799;
EQIX UW Equity;65270865880;78953,31688;661,1664106;5998,545;#N/A N/A;2924,205;1052,928;2693,596;12313,938;69,09467301;27,04707874;9,99101012;6493,274;12,15924615;113,9972417;
EQR UN Equity;33275189378;42401,79738;#N/A N/A;2571,705;#N/A N/A;#N/A N/A;786,183;1632,793;8330,795;68,02223684;29,42442122;13,60995672;2432,302;17,43278482;130,7911195;
ES UN Equity;30808615986;49806,16199;1624,042445;8904,43;#N/A N/A;5916,59;1988,734;3158,893;17439,588;25,21534786;15,26166285;3,198853098;9615,105;5,179991481;23,9983325;
ESS UN Equity;21641703808;27988,71381;#N/A N/A;1495,748;#N/A N/A;#N/A N/A;426,474;958,282;6283,36;75,24758051;31,63309999;15,11289412;1431,033;19,55839859;72,97844228;
ETN UN Equity;63150198000;71940,198;1530,75315;17858;#N/A N/A;5450;2045;2854;7398;23,78188364;18,36614705;3,236307254;19517;3,686027463;28,48776798;
ETR UN Equity;22463679677;47341,37868;#N/A N/A;10113,636;#N/A N/A;7644,997;1769,195;4094,416;22468,15;28,58457847;12,09120978;1,968941236;11390,541;4,156201069;12,66729703;
ETSY UW Equity;19914719425;21419,69542;389,3791746;1725,625;#N/A N/A;1260,88;424,009;488,045;-531,685;44,18089969;39,14453792;8,908221124;2229,33;9,608131333;44,06800349;
EVRG UN Equity;14745477622;25526,97762;948,0011051;4913,4;#N/A N/A;3814,4;1143,9;2125,3;10263,4;18,67782075;10,94544963;2,669182284;5559;4,592008926;18,01439518;
EW UN Equity;68177326963;67400,82696;837,5919057;5232,5;#N/A N/A;3983,6;1690,3;1035,3;-776,5;39,82088323;#N/A N/A;13,00782166;5232,5;12,88119006;49,15294305;
EXC UW Equity;56693515757;95372,51576;3336,596228;33039;#N/A N/A;18935;2823;9594;39534;40,13994771;8,923326699;1,626616324;34833;2,73799316;24,02789672;
EXPD UW Equity;19393349543;18032,49754;696,14;10116,481;#N/A N/A;2927,691;940,437;1088,832;-1089,602;11,50319311;11,12868454;1,341556914;14455,082;1,247484971;16,93491174;
EXPE UW Equity;27773500769;33681,50077;#N/A N/A;5199;#N/A N/A;3519;-2719;-1492;5468;#N/A N/A;59,93149603;3,754915118;7239;4,65278364;#N/A N/A;
EXR UN Equity;26536016635;32679,51063;#N/A N/A;1356,212;#N/A N/A;#N/A N/A;666,14;919,293;5900,664;38,00256839;29,80747135;17,47255379;1503,469;21,73607213;41,61842139;
F UN Equity;81123702511;75433,70251;#N/A N/A;127144;#N/A N/A;5785;-4408;3498;-7216;56,20991245;9,916353689;0,601062271;134615;0,560366248;12,01405185;
FANG UW Equity;22856981102;30283,9811;#N/A N/A;3056;#N/A N/A;985;-5226;-3922;5711;27,93725194;13,12699658;4,665159981;4678;6,473702672;14,62814399;
FAST UW Equity;32617338176;33017,93818;932,4287962;6010,9;#N/A N/A;2777,2;1217,4;1388,1;400,6;27,12168406;23,78642618;5,420380165;6010,7;5,493010726;35,3729798;
FB UW Equity;8,71414E+11;826557,986;29146;85965;#N/A N/A;69273;32671;40924;-50777;17,48182633;14,6990679;7,908303158;112330;7,358301308;22,35974374;
FBHS UN Equity;12782103363;15117,40336;617,6207991;6090,3;#N/A N/A;2164,4;801,4;1009,5;2332,1;14,22011416;12,0832894;1,783955518;7353,1;2,055922449;16,62087671;
FCX UN Equity;54656584266;65077,58427;4727,29782;22845;#N/A N/A;8815;8366;10364;1382;7,766885519;6,279195703;2,395767721;22845;2,848657661;12,47617601;
FDS UN Equity;15946243411;16092,92241;#N/A N/A;1591,445;#N/A N/A;805,045;474,041;581,317;148,242;32,94341083;27,42067919;9,838989713;1627,965;9,885299998;38,16216079;
FDX UN Equity;65145362424;95141,36242;5852,543752;83959;#N/A N/A;17954;5857;12498;29375;16,41217223;9,814458678;0,732304471;89552;1,062414714;13,90785419;
FE UN Equity;22843847213;45892,84721;1956,73605;10790;#N/A N/A;7720;2162;3404;22981;24,20508819;13,29071741;2,066955518;11009;4,168666292;19,85543722;
FFIV UW Equity;12609231821;12325,11182;#N/A N/A;2603,416;#N/A N/A;2110,27;394,025;557,442;-328,107;30,81802491;22,64546584;4,715578633;2665,899;4,62324785;28,13363315;
FIS UN Equity;73023744347;91601,74435;374,6541353;12552;#N/A N/A;4204;552;4476;18661;119,4286106;19,48144286;5,484632497;13521;6,774775856;49,06097978;
FISV UW Equity;69786514790;90830,51479;1548,328779;14852;#N/A N/A;7040;1852;5260;20374;39,99582333;16,59004836;4,471336135;15801;5,748402936;34,80493003;
FITB UW Equity;30472382140;#N/A N/A;#N/A N/A;8329;7888;#N/A N/A;#N/A N/A;#N/A N/A;-24484;#N/A N/A;#N/A N/A;3,762239899;8328;#N/A N/A;11,6260353;
FLT UN Equity;19346377721;23766,75572;#N/A N/A;2388,855;#N/A N/A;#N/A N/A;972,265;1247,766;3490,123;19,868497;16,16708018;7,45920355;2648,814;8,972602728;23,85132956;
FMC UN Equity;13989562503;17236,1625;671,5158537;4642,1;#N/A N/A;2052;902,2;1104,4;2875,6;18,87446617;15,40456029;2,979987479;4783,8;3,603027406;17,1334263;
FOX UW Equity;22276001423;25638,00142;2447,942084;12909;#N/A N/A;#N/A N/A;2730;3156;2566;#N/A Field Not Applicable;#N/A Field Not Applicable;#N/A Field Not Applicable;13237;#N/A Field Not Applicable;#N/A Field Not Applicable;
FOXA UW Equity;22276001423;25638,00142;2447,942084;12909;#N/A N/A;#N/A N/A;2730;3156;2566;9,667421351;8,652717321;1,800511319;13237;1,936843803;14,59829897;
FRC UN Equity;31082943292;#N/A N/A;#N/A N/A;5305;5034;#N/A N/A;#N/A N/A;#N/A N/A;-7470;#N/A N/A;#N/A N/A;5,797296127;5304,457;#N/A N/A;22,63233329;
FRT UN Equity;9917382208;14507,75321;#N/A N/A;835,494;#N/A N/A;#N/A N/A;191,407;452,38;3637,536;60,96898634;28,66940931;10,70230433;916,583;15,82808454;62,54138988;
FTNT UW Equity;48598677580;46566,27758;488,5;2594,4;#N/A N/A;2024,4;531,8;619,1;-1784,2;76,78998247;66,08895484;15,50514016;3126,6;14,89358331;89,82222917;
FTV UN Equity;25294067572;27235,46757;1756,333561;4634,4;#N/A N/A;2608,5;539,4;983,4;2606,6;34,31888555;22,30404354;4,656787172;5203,3;5,234268171;37,93582688;
GD UN Equity;59223162243;69115,16224;3581,302568;38469;#N/A N/A;6325;4163;5053;9892;16,42974254;13,67804517;1,545748564;38469;1,796645669;18,36363689;
GE UN Equity;1,03752E+11;85732,99585;#N/A N/A;74196;#N/A N/A;18017;3676;6279;-19321;22,47827816;#N/A N/A;1,401395564;74129;1,155493502;#N/A N/A;
GILD UW Equity;86151060291;107001,0603;175,472139;24689;#N/A N/A;20117;4071;5722;24207;9,20122627;7,884537638;3,137616771;27482;3,893496117;8,768397651;
GIS UN Equity;41428236156;53921,33616;2673,33535;18127;#N/A N/A;6448,3;3144,8;3878,8;11501,2;17,86125283;14,92838764;2,257067637;18607,5;2,897828088;18,34904552;
GL UN Equity;10330174718;12173,63672;802,5310889;4737,921;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;1827,957;11,81839927;#N/A N/A;2,096286367;5044,45;2,413273343;14,86813189;
GLW UN Equity;34893200000;40001,2;2144,548185;14082;#N/A N/A;5063;2112;3593;4896;18,72540463;11,13309212;2,470630328;14082;2,840590825;35,60108236;
GM UN Equity;76556593303;84135,5933;7284,375911;122485;#N/A N/A;24946;6634;19766;-4773;7,959095005;3,695831026;0,582154759;130938;0,64256055;6,897470924;
GNRC UN Equity;17815346576;18346,37058;376,2490168;2485,2;#N/A N/A;957,654;479,106;566,527;293,815;25,59807478;22,98822116;5,147790205;3431,195;5,346933233;34,3347875;
GOOG UW Equity;1,79888E+12;1684737,565;40382,06341;182527;#N/A N/A;97795;41224;57188;-109922;#N/A Field Not Applicable;#N/A Field Not Applicable;#N/A Field Not Applicable;239210;#N/A Field Not Applicable;#N/A Field Not Applicable;
GOOGL UW Equity;1,79888E+12;1684737,565;40382,06341;182527;#N/A N/A;97795;41224;57188;-109922;23,2441717;19,42620427;7,586479119;239210;7,042922809;30,78689877;
GPC UN Equity;18974849486;21283,42249;11,26048612;16537,433;#N/A N/A;5654,841;414,943;1001,1;2747,012;20,08326656;15,79013074;1,046766386;18318,895;1,161828947;20,64678312;
GPN UN Equity;43487832030;52684,70803;868,8697168;7423,558;#N/A N/A;3772,831;893,953;2637,493;8258,316;40,84462678;17,78022462;5,358720927;8259,974;6,378314027;35,99623439;
GPS UN Equity;6747396619;12064,39662;#N/A N/A;13800;#N/A N/A;4705;-862;684;5266;12,88931263;8,413107824;0,410321765;16569;0,728130643;9,962987361;
GRMN UN Equity;23928709337;20762,37734;992,324;4186,573;#N/A N/A;2481,336;1054,24;1210,849;-2882,427;16,28719392;14,5687705;4,830612841;4942,61;4,200690999;21,06505655;
GS UN Equity;1,23923E+11;200799,2047;#N/A N/A;64989;59339;#N/A N/A;32694;34709;67000;7,399236726;5,785220108;1,915589879;64989;3,089741414;5,85857905;
GWW UN Equity;25508090470;27842,09047;769,1446674;11797;#N/A N/A;4238;1019;1277;2031;19,8164345;17,54385033;2,057137958;12604;2,208988454;27,2142735;
HAL UN Equity;27515870021;34705,87002;#N/A N/A;15295;#N/A N/A;1545;1800;2704;7175;18,842828;12,8350111;1,793657155;15295;2,269099053;14,19666668;
HAS UW Equity;12757329867;15986,22987;363,3085012;5465,443;#N/A N/A;3746,555;501,814;857,419;3857,376;20,38186305;14,05976136;2,078391395;6129,971;2,607880179;18,85829876;
HBAN UW Equity;21783706410;#N/A N/A;#N/A N/A;6080;5991;#N/A N/A;#N/A N/A;#N/A N/A;1528;#N/A N/A;#N/A N/A;3,1162444;6080;#N/A N/A;13,22186966;
HCA UN Equity;74661023140;111966,0231;8185,643649;58752;#N/A N/A;#N/A N/A;9678;12531;34883;11,4565585;8,935122747;1,325445269;58752;1,905739773;13,7226972;
HD UN Equity;3,83215E+11;423600,8932;13886,76228;132110;#N/A N/A;44853;18278;21566;35593;18,99725954;16,75371354;2,639836867;147699;2,868001091;24,39927385;
HES UN Equity;28584695047;35738,69505;846,3087248;7473;#N/A N/A;4210;1890;3418;6428;18,69647979;10,45602547;3,803115799;7473;4,782375893;43,0846946;
HIG UN Equity;24461195480;29352,19548;1930,364151;20523;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;4334;10,202362;#N/A N/A;1,160812065;21902;1,34016051;13,47267837;
HII UN Equity;7499418826;10463,41883;793,9555556;9361;#N/A N/A;1670;799;1101;1395;14,99057138;10,64437317;0,786105622;9604;1,089485509;13,13369165;
HLT UN Equity;40445303275;48823,30328;#N/A N/A;4307;#N/A N/A;3687;-418;42;8410;101,2931603;71,06739924;8,350413897;4842;10,0832927;145,9332098;
HOLX UW Equity;17651518646;19625,81865;1945,619656;5632,3;#N/A N/A;3795,8;2480,3;2917,3;1974,3;7,90803715;6,727391302;3,207460203;5632,3;3,484512303;9,358361693;
HON UW Equity;1,40769E+11;151172,7299;5069,50815;32637;#N/A N/A;10468;5696;6912;7992;23,77677413;20,03614711;4,106924509;34635;4,364738846;27,22316106;
HPE UN Equity;21121873681;31749,87368;3703,109005;27784;#N/A N/A;9376;1132;3901;10582;27,32544666;8,138906353;0,769245034;27784;1,142739479;10,86839322;
HPQ UN Equity;39768399592;44247,39959;6722,912395;63487;#N/A N/A;13417;5302;6322;4479;8,279974961;6,998955962;0,696606051;63487;0,696952126;9,703177227;
HRL UN Equity;25755795479;28578,59348;943,8000858;11386,189;#N/A N/A;1927,906;1122,599;1372,998;2817,32;25,43155781;20,81473788;2,256393226;11386,189;2,509934929;27,35086732;
HSIC UW Equity;10442183224;12705,36422;437,3015091;10119,141;#N/A N/A;2814,343;535,303;807,641;581,233;15,11747478;11,29115798;0,868173774;12236,224;1,038340277;16,91211764;
HST UW Equity;12381372414;17584,37241;#N/A N/A;1620;#N/A N/A;#N/A N/A;-953;-288;3816;#N/A N/A;107,221783;5,691378215;2159;8,144683842;#N/A N/A;
HSY UN Equity;40597154677;44630,80568;1409,637299;8149,719;#N/A N/A;3701,269;1782,698;2122,152;3677,087;22,43131667;19,04045423;4,625042033;8830,453;5,054192087;28,31940868;
HUM UN Equity;50449709218;44949,70922;3569,591087;77155;#N/A N/A;15527;4986;5602;-10247;16,39901832;13,14318983;0,626922199;81072;0,554441845;17,10558658;
HWM UN Equity;13282207060;17021,20706;#N/A N/A;5259;#N/A N/A;1381;626;1031;3603;20,70706455;14,74974615;2,727225878;4925;3,456082652;34,82868539;
IBM UN Equity;1,19786E+11;167770,6227;6868,390738;57351;#N/A N/A;31486;6253;12669;47890;26,83042104;13,24260974;1,690566894;70786;2,925330382;14,82810932;
ICE UN Equity;71360793198;85361,7932;2361,073753;6036;#N/A N/A;#N/A N/A;3033;3852;16343;25,48874088;19,48009886;10,20727207;6977;12,23474175;29,56081758;
IDXX UW Equity;43015797338;43715,06634;610,9051938;2706,655;#N/A N/A;1571,04;694,524;815,022;510,199;47,62342563;41,82483476;13,81208949;3135,208;13,94327468;57,88057682;
IEX UN Equity;16380225283;16878,40328;413,718074;2351,646;#N/A N/A;1027,424;520,713;633,659;129,562;27,24041714;22,7478487;6,13828031;2664,824;6,333777872;35,57326847;
IFF UN Equity;33579839448;45364,83945;472,9324535;5084,239;#N/A N/A;2085,866;566,484;953,468;4076,239;88,49897376;28,33473104;2,775083476;9895,073;4,584588658;43,31971049;
ILMN UW Equity;54520566000;55792,566;693,5514019;3239;#N/A N/A;2203;580;840;-1566;#N/A N/A;311,6903128;12,02185019;4280;13,03564626;1762,260127;
INCY UW Equity;16418799636;14193,30064;#N/A N/A;2666,702;#N/A N/A;2535,374;-263,676;-199,369;-1739,658;22,20228735;20,00115644;5,613982663;2912,923;4,872528603;26,55526834;
INFO UN Equity;46608596412;51285,89641;1404,791234;4658,1;#N/A N/A;2949,8;1561,4;2147,9;4664,3;32,84609736;23,87722725;9,993597104;4658,1;11,01004624;73,11992815;
INTC UW Equity;1,98795E+11;202660,04;20414,52334;79024;#N/A N/A;43815;19456;32046;3865;10,40962477;6,324035449;2,50749801;79024;2,564537862;10,71190733;
INTU UW Equity;1,57223E+11;156479,7579;2085,395149;9633;#N/A N/A;7950;2500;2922;-1390;62,69475704;52,49237098;14,66714613;10317;15,1671763;77,39587812;
IP UN Equity;18685447904;22960,4479;855,8461538;19363;#N/A N/A;5531;1168;2378;4275;19,4657138;9,655360767;0,865251292;21779;1,1857898;9,924940707;
IPG UN Equity;13994061940;16885,56194;539,0442569;9061;#N/A N/A;8064,5;588,4;1181,7;2666,8;14,04438322;11,37304637;1,413911169;9858,6;1,71277483;14,43896689;
IPGP UW Equity;8234618986;6756,437986;#N/A N/A;1200,724;#N/A N/A;538,996;185,744;288,095;-1328,873;19,55361263;15,31978311;5,756031777;1433,023;4,714814756;31,71868608;
IQV UN Equity;46785573795;57706,57379;616,1789474;11359;#N/A N/A;3859;731;2227;11158;47,33927301;22,00021876;3,464730774;13536;4,263192508;55,81393514;
IR UN Equity;22910331771;24445,53177;#N/A N/A;4910,2;#N/A N/A;1613,4;85,7;636,3;2307,8;41,85162091;23,60290796;4,278366011;5484,6;4,457122082;33,75426527;
IRM UN Equity;13296112948;24753,07795;735,6297685;4147,27;#N/A N/A;2389,928;934,785;1992,193;10793,088;22,85467705;11,24054683;3,022485234;4391,597;5,636463899;22,9359622;
ISRG UW Equity;1,0152E+11;92900,07116;#N/A N/A;5710,1;#N/A N/A;3958,5;1821;1347;-8619,5;50,94599967;#N/A N/A;17,72555583;5710,1;16,26942981;63,14140296;
IT UN Equity;24169222649;26693,40365;361,3239749;4099,403;#N/A N/A;2754,379;490,15;811,038;2130,379;28,92650057;21,96816187;5,607767696;4540,439;5,879035848;42,74517016;
ITW UN Equity;73422979192;78987,97919;2269,670858;12574;#N/A N/A;5199;2882;3374;5746;22,4015823;20,06298684;5,184700225;14251;5,542627127;28,4316489;
IVZ UN Equity;10450792000;19158,592;#N/A N/A;6894,5;6894,5;#N/A N/A;2297,2;1353,3;7524,8;8,298095742;#N/A N/A;1,520959108;6894,5;2,77882254;8,178311683;
J UN Equity;16852240227;20354,67023;521,0200664;14092,632;#N/A N/A;3043,772;688,089;1086,556;2809,912;28,59272983;18,73319942;1,202688711;14092,632;1,444348382;23,71826833;
JBHT UW Equity;20219374958;21165,05496;542,1855128;12168,302;#N/A N/A;1500,525;1045,53;1602,623;945,68;20,16209171;13,20650893;1,672301846;12168,302;1,739359769;26,76904824;
JCI UN Equity;51059893553;60028,89355;1774,596021;23668;#N/A N/A;8059;2559;3788;7778;23,24692874;15,84712079;2,199244268;23668;2,536289232;27,53343954;
JKHY UW Equity;12424825580;12503,95458;312,3648968;1758,225;#N/A N/A;694,826;398,719;585,312;110,222;30,02718096;20,76416969;7,003605921;1794,48;6,968009997;39,44758745;
JNJ UN Equity;4,5357E+11;456497,1318;14893,27587;93775;#N/A N/A;63920;23647;26964;10081;19,3046531;15,06889588;4,854392688;93775;4,868004605;20,67347278;
JNPR UN Equity;11322806355;11913,80635;332,6514329;4735,4;#N/A N/A;2740,1;387,5;624,9;591;30,15081055;19,06514059;2,384295514;4735,4;2,51590285;33,73406636;
JPM UN Equity;4,39153E+11;#N/A N/A;#N/A N/A;127202;121649;#N/A N/A;#N/A N/A;#N/A N/A;-534337;#N/A N/A;#N/A N/A;3,531128951;127202;#N/A N/A;9,610965847;
K UN Equity;21490736589;29739,73659;1475,308557;13770;#N/A N/A;4727;1761;2375;7677;16,44896935;13,05519604;1,514560683;14225;2,090666896;15,72104184;
KEY UN Equity;23276981000;#N/A N/A;#N/A N/A;7561;7265;#N/A N/A;#N/A N/A;#N/A N/A;11890;#N/A N/A;#N/A N/A;3,135545684;7561;#N/A N/A;9,54380514;
KEYS UN Equity;30853991248;30824,99125;963,9267327;4941;#N/A N/A;3069;1080;1424;-29;28,37456391;21,64676352;6,302343234;4941;6,238613894;34,33842843;
KHC UW Equity;43820720104;65668,7201;844,576699;26185;#N/A N/A;9177;2128;3259;25499;13,05541155;11,029345;1,667540664;26272;2,49957065;12,1001416;
KIM UN Equity;14954544687;22859,16769;#N/A N/A;1057,893;#N/A N/A;#N/A N/A;326,128;625,454;5158,911;64,64187358;32,92400225;9,235548578;1209,372;18,90168425;43,27714718;
KLAC UW Equity;58668961570;59395,85557;2216,75087;6918,734;#N/A N/A;4146,569;2488,48;2860,715;1051,306;18,68761375;16,71443715;7,269366776;8165,712;7,2738122;21,01859147;
KMB UN Equity;46349056783;54902,05678;2014,88809;19440;#N/A N/A;5988;2561;3327;8304;21,29604536;16,50197078;2,388058382;19440;2,824179876;21,88526396;
KMI UN Equity;39362506802;72640,5068;3027,893646;16610;#N/A N/A;5188;2916;5051;32180;24,79627084;14,38141097;2,367982176;16610;4,373299627;13,33420431;
KMX UN Equity;17973950703;21247,7227;813,6038161;18950,149;#N/A N/A;2379,125;1043,16;1342,641;15524,266;13,09967581;11,02752959;0,615759388;29377,974;0,723253506;15,33379285;
KO UN Equity;2,63528E+11;292320,8286;8892,001128;33014;#N/A N/A;19581;8997;10886;33501;26,63758234;23,35763712;6,955941897;37802;7,732946103;25,93123497;
KR UN Equity;32049790035;50439,79003;3002,766172;132498;#N/A N/A;30901;2780;6401;18900;21,42726849;9,707426874;0,241208529;135577;0,372037957;12,06223887;
L UN Equity;15134812020;24748,81202;#N/A N/A;12583;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;10132;8,55176642;#N/A N/A;1,075643377;14705;1,683020199;14,28795861;
LDOS UN Equity;12553355394;17732,35539;774,5787452;12297;#N/A N/A;1737;998;1438;4911;15,01469551;11,87699625;0,937606354;13498;1,31370243;16,08696583;
LEN UN Equity;28148496829;31948,48683;4445,536832;27130,676;#N/A N/A;7364,291;5109,388;5280,333;3620,133;6,247996692;6,050468186;1,084329001;27130,676;1,177577987;6,718018438;
LH UN Equity;25969152000;30288,752;1701,619265;13978,5;#N/A N/A;4952,8;2445,4;3285,5;5435,6;7,924636195;6,637757665;1,593360556;16554,6;1,829627536;9,385380186;
LHX UN Equity;41068028407;47956,02841;2059,926851;17814;#N/A N/A;5376;2109;3076;6888;22,73875221;15,59038635;2,364420925;17814;2,692041563;21,05546477;
LIN UN Equity;1,62163E+11;175604,0096;2587,216017;27243;#N/A N/A;11860;3322;8289;13306;37,55432198;18,74509069;5,568601119;29767;5,899284764;31,18660623;
LKQ UW Equity;15999951035;19414,74603;712,9481901;11628,83;#N/A N/A;4593,271;985,577;1592,499;3978,758;13,28367782;11,07452287;1,281927879;12856,399;1,510123172;15,3264085;
LLY UN Equity;2,34738E+11;248195,4073;6501,761594;24539,8;#N/A N/A;19056,5;6058;7381,9;12914;38,58759442;31,41157356;8,035131248;27758,5;8,941239884;29,81876758;
LMT UN Equity;1,05971E+11;115442,5763;6790,925166;67044;#N/A N/A;9061;9123;10762;9472;12,61943335;10,72687013;1,60425754;67044;1,721892732;11,92622764;
LNC UN Equity;12645993916;16654,99392;#N/A N/A;17439;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;5168;9,468444523;#N/A N/A;0,70976118;18761;0,887745531;8,351519391;
LNT UW Equity;14986596710;22557,59671;#N/A N/A;3416;#N/A N/A;2133;740;1355;7127;29,1065764;15,77454315;4,206669037;3559;6,338183959;24,04440004;
LOW UN Equity;1,59914E+11;184182,8953;6492,464789;89597;#N/A N/A;29572;9647;11900;21101;15,65116378;13,54485184;1,771183244;95221;1,934267602;20,50417782;
LRCX UW Equity;82751028000;82416,216;4094,989497;14626,15;#N/A N/A;6805,306;4482,023;4840,693;-563,758;15,78368805;14,87379183;5,066013188;16523,902;4,987696974;18,37468685;
LUMN UN Equity;12655331892;42170,33189;#N/A N/A;20712;#N/A N/A;11778;962;6376;33215;32,06869345;7,461134447;0,667296756;19965;2,112212967;6,561334763;
LUV UN Equity;26494335037;23271,33504;1294,801509;15790;#N/A N/A;#N/A N/A;1721;2993;-3223;13,06071568;7,775253938;1,677056542;15790;1,473802092;#N/A N/A;
LVS UN Equity;33462751138;46680,75114;#N/A N/A;4234;#N/A N/A;774;-689;352;11922;#N/A N/A;136,0954844;7,903448138;4234;11,02521283;#N/A N/A;
LW UN Equity;9323523156;11425,92316;406,0687237;3670,9;#N/A N/A;832;474,8;693,4;2103,3;30,54243025;20,32720718;2,41522165;3894,1;2,934162748;40,18617891;
LYB UN Equity;31920900000;43832,9;#N/A N/A;46173;#N/A N/A;8776;6773;8166;11782;6,415907588;5,36773206;0,698543116;46173;0,949318866;5,225518039;
LYV UN Equity;24602516271;27891,53027;#N/A N/A;1861,178;#N/A N/A;458,778;-1653,192;-939,618;3923,545;#N/A N/A;#N/A N/A;6,229877008;3802,66;7,334742068;#N/A N/A;
MA UN Equity;3,78652E+11;384759,4;9050,257689;18884;#N/A N/A;#N/A N/A;10082;10808;6007;38,08075506;35,59950037;20,20688285;18884;20,37488879;45,97905832;
MAA UN Equity;23796788598;28556,0966;#N/A N/A;1677,984;#N/A N/A;#N/A N/A;427,513;939,191;4569,254;64,55309992;29,41549984;13,6095255;1738,168;16,42884727;77,17146219;
MAR UW Equity;52474061072;62387,06107;#N/A N/A;10571;#N/A N/A;1459;84;719;10469;63,20877515;47,33464421;4,547454827;11583;5,386088325;67,69082162;
MAS UN Equity;15458060932;17971,06093;1333,750663;7188;#N/A N/A;2587;1295;1475;1657;12,02882258;10,94461689;1,955133459;8213;2,18812382;18,07288794;
MCD UN Equity;1,93873E+11;237807,226;8525,392395;23222,9;#N/A N/A;15175,6;10356;10554,7;43934,4;21,86405323;#N/A N/A;8,355034146;23222,9;10,24020368;28,07651401;
MCHP UW Equity;42991382766;50971,48277;#N/A N/A;5438,4;#N/A N/A;3378,8;998,1;2214,5;8787,3;38,07535876;20,69403709;8,042599838;6038,4;8,441223299;54,23522136;
MCK UN Equity;39196565656;45467,56566;#N/A N/A;238228;#N/A N/A;12148;-5040;-3724;3127;#N/A N/A;#N/A N/A;0,160633314;250991;0,181152175;12,26900575;
MCO UN Equity;63763700000;68210,7;1950,199192;5371;#N/A N/A;#N/A N/A;2388;2699;2717;24,43253744;22,00345161;10,73693578;5969;11,42749204;30,38925804;
MDLZ UW Equity;93504982008;109983,982;4625,249027;28720;#N/A N/A;11254;4653;5766;16425;23,53677965;19,07457198;3,275174473;28720;3,829525836;23,0610703;
MDT UN Equity;1,39148E+11;154270,2851;4468,066752;30117;#N/A N/A;19634;4484;7402;16587;29,07468622;19,25009796;4,380294737;31797;4,851724536;23,37463353;
MET UN Equity;56408202543;59957,20254;6121,109138;67842;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;669;7,579924468;#N/A N/A;0,838306062;70409;0,851555945;7,969031477;
MGM UN Equity;20033964493;43924,87049;#N/A N/A;5162,082;#N/A N/A;1709,371;-642,434;1319,124;15777,2;19,7079063;12,56082273;2,566568248;8116,784;5,411610127;#N/A N/A;
MHK UN Equity;10692909726;12266,62773;561,8209863;9552,197;#N/A N/A;2430,69;636,002;1369,928;1772,667;8,988871638;5,879667928;0,993468605;11081,64;1,106932523;10,19038634;
MKC UN Equity;26826731258;31912,63126;862,5152936;6317,9;#N/A N/A;2494,6;1015,1;1246,4;5071,4;31,35540187;25,60384408;4,244030408;6317,9;5,051145358;31,51254158;
MKTX UW Equity;13099362864;12644,97486;258,5382748;698,951;#N/A N/A;#N/A N/A;337,235;390,682;-454,388;36,77660853;32,36641274;18,48529211;698,951;18,091361;50,88331034;
MLM UN Equity;24274041426;27437,64143;816,7628584;4729,9;#N/A N/A;1252,8;1005,4;1477,9;2902;27,32016472;19,24638147;4,76037192;5097,2;5,382885001;33,50671328;
MMC UN Equity;77572124186;88982,12419;3477,89924;19820;#N/A N/A;#N/A N/A;4312;5059;11410;20,32181797;17,5888761;3,928205723;19820;4,489511816;24,28821713;
MMM UN Equity;95669490354;108530,4904;5809,107585;35355;#N/A N/A;16560;7369;9420;12861;14,68686791;#N/A N/A;2,718984903;35355;3,069735267;16,42737903;
MNST UW Equity;45886944053;42970,03505;#N/A N/A;4598,638;#N/A N/A;2723,88;1633,153;1698,763;-2040,431;24,03770248;23,2622663;8,626717617;5312,607;8,088314278;34,12912917;
